Category,SKU,Name,Price
Royal China,68877,Cup/Saucer,99
Royal China,68876,Teapot,169
Royal China,77331,Teapot 6cup,199
Royal China,77100,"6 1/4"" B&B Plate",49
Royal China,68878,"8"" Dessert Plate",59
Royal China,73140,"10 3/4"" Dinner Plate",89
Royal China,77330,Rim Soup Bowl,89
Royal China,68881,2 Tier Cake Stand,129
Royal China,68879,Creamer,69
Royal China,68880,Sugar,69
Royal China,32234,Tea Strainer,29.95
Royal China,77332,Trinket Box,59
Royal China,77333,Square Dish,79
Royal China,56621,Platter,189.95
Royal China,58239,Salt & Pepper,69.95
Royal China,69101,Emp Pill Box,59
Library China,68889,Cup/Saucer,89
Library China,68892,Teapot,169
Library China,68890,"8"" Plate",59
Library China,68893,Creamer,69
Library China,68894,Sugar,69
Library China,68891,2 Tier Cake Stand,129
Palm Court China,68883,Cup/Saucer,89
Palm Court China,68886,Teapot,169
Palm Court China,68884,"8"" Plate",59
Palm Court China,68885,2 Tier Cake Stand,129
Palm Court China,72410,Beaker,49
Palm Court China,68887,Creamer,69
Palm Court China,68888,Sugar,69
Empress Tea,18405,Blue box of 10's,7.95
Empress Tea,18407,Blue box of 50's,16.95
Empress Tea,24329,Collector Tin,10.95
Empress Tea,54300,Sampler bag,7.99
Empress Tea,54300,Sampler box,7.99
Empress Tea,49123,Apple Spice,12.95
Empress Tea,24981,Berry Berry,12.95
Empress Tea,24984,Breakfast,12.95
Empress Tea,25639,Camomile,12.95
Empress Tea,24983,Empress Orange,12.95
Empress Tea,24982,Earl Grey,12.95
Empress Tea,43266,Gen Maichi,12.95
Empress Tea,24980,Jasmine Butterfly,12.95
Empress Tea,25635,Japan Sencha,12.95
Empress Tea,25640,Kea Lani Orange,12.95
Empress Tea,25637,Kyoto Cherry Rose,12.95
Empress Tea,43264,Lemon Rooibos,12.95
Empress Tea,25641,Maple Maple,12.95
Empress Tea,25633,Margaret's Hope,12.95
Empress Tea,25638,Peppermint,12.95
Empress Tea,49122,Safari Chai,12.95
Empress Tea,43267,Vanilla Orchid,12.95
Empress Tea,24979,Willow Stream Decaf,12.95
Wellness Tea,74161,Antioxidant,12.95
Wellness Tea,74160,Digestif,12.95
Wellness Tea,74157,Energy,12.95
Wellness Tea,74159,Equilibrium,12.95
Wellness Tea,74158,Tranquility,12.95
100 gram bulk tea,85353,Breakfast,9.95
100 gram bulk tea,90802,TEA OF THE MONTH,9.95
100 gram bulk tea,85354,Earl Grey,9.95
100 gram bulk tea,85350,Jasmine Butterfly,9.95
100 gram bulk tea,85351,Kea Lani,9.95
100 gram bulk tea,85823,Berry Berry,9.95
100 gram bulk tea,52665,Willow Stream Decaf,9.95
100 gram bulk tea,85352,Empress Orange Pekoe,9.95
100 gram bulk tea,52667,Maple Maple,9.95
100 gram bulk tea,85981,Ice Wine,9.95
100 gram bulk tea,85978,Cream Earl Grey,9.95
100 gram bulk tea,85980,Mango Mist,9.95
100 gram bulk tea,90802,Peach Apricot,9.95
500 gram bulk tea,45870,Berry Berry,34.95
500 gram bulk tea,45856,Borengajuli,29.95
500 gram bulk tea,72438,Centennial 1907,29.95
500 gram bulk tea,45865,Cascade Peppermint,29.95
500 gram bulk tea,45878,Cream Earl Grey,29.95
500 gram bulk tea,45875,Earl Grey,55
500 gram bulk tea,45866,Egypian Camomile,15.95
500 gram bulk tea,45873,Empress Orange,29.95
500 gram bulk tea,45864,Gen Maicha,34.95
500 gram bulk tea,45874,Breakfast,39.95
500 gram bulk tea,45858,Ice Wine,34.95
500 gram bulk tea,41622,Japan Sencha,39.95
500 gram bulk tea,45862,Jasmine Butterfly,29.95
500 gram bulk tea,45871,Kea Lani,34.95
500 gram bulk tea,45860,Kyoto Cherry,29.95
500 gram bulk tea,45861,Long Is. Strawberry,29.95
500 gram bulk tea,45854,Marg's Hope Darjeeling,34.95
500 gram bulk tea,45857,Maple Maple Organic,62.5
500 gram bulk tea,45882,Pai Mu Tan,54.95
500 gram bulk tea,45877,Vanilla Chai,29.95
500 gram bulk tea,45879,Vanilla Orchid,44.95
500 gram bulk tea,45851,Willow Stream Decaf,39.95
Royal China,32425,Bracelet Square,250
Royal China,74449,Bracelet Half-moon,295
Royal China,35033,Crown Pin,95
Royal China,32431,Earrings,95
Royal China,32427,Pin/Pendant,69
Royal China,32428,Pendant,55
Royal China,32430,Charm,45
Miscellaneous,41026,Teapot Beads,22
Miscellaneous,41022,Teacup,6
Miscellaneous,41021,Teapot - 2 Sided,10
Miscellaneous,45118,Empress Teapot,15
New charms,68022,Cup and Saucer,49
New charms,82418,Tea Pot,55
New charms,82419,Emp Hotel,49
New charms,82420,DD Bus,69
New charms,82422,Whale,49
New charms,82415,Totem,55
New charms,54179,Snow Flake,49
New charms,82421,Sea Otter,49
New charms,82424,Maple Leaf,69
New charms,82423,B/C Dogwood,69
New charms,54176,Inukshuk,39
New charms,99999,Allan Haggett,1119
Crystal,30592,Champaign Flutes,110
Crystal,30597,Tumbler,49.95
Crystal,4770,Tot Glass,24.95
Test,7894673,Liz Rocks,99.99
Good Human,00000,Nelson Mandela,1.00
Bad Person,66666,Stephen Harper,0.00
Friends,0000,Ben West,9,000.00
